City,City ID,Latitude,Longitude,temperature,humidity,cloudiness,wind speed
Lompoc,5367788,34.6391,-120.4579,291.13,67,1,4.63
Khatanga,2022572,71.9667,102.5,237.8,83,100,6.09
San Patricio,4726521,28.017,-97.5169,283.48,76,75,4.12
Chokurdakh,2126123,70.6333,147.9167,238.0,84,63,2.53
Ilulissat,3423146,69.2167,-51.1,269.15,80,90,6.69
Hilo,5855927,19.7297,-155.09,297.34,61,75,3.09
Albany,5106841,42.6001,-73.9662,272.82,70,99,1.16
Yellowknife,6185377,62.456,-114.3525,263.91,92,75,5.66
Rikitea,4030556,-23.1203,-134.9692,298.7,75,64,5.65
Saint Paul Harbor,5866583,57.79,-152.4072,275.15,80,1,2.57
Ushuaia,3833367,-54.8,-68.3,286.15,67,75,3.6
Busselton,2075265,-33.65,115.3333,290.1,59,99,2.24
Øksfjord,778362,70.2396,22.3479,260.34,66,90,4.12
Beyneu,610298,45.3167,55.2,273.11,92,73,12.5
Upernavik,3418910,72.7868,-56.1549,261.26,96,100,7.85
Mount Isa,2065594,-20.7333,139.5,306.15,33,21,4.12
Atar,2381334,20.5169,-13.0499,289.65,28,52,5.67
Morgan City,4333811,29.6994,-91.2068,282.41,71,1,3.09
Ponta do Sol,2264557,32.6667,-17.1,282.56,55,72,3.13
Bengkulu,1649150,-3.8004,102.2655,297.72,80,100,2.15
Sorong,1626542,-0.8833,131.25,301.38,82,100,4.52
Atambua,1651103,-9.1061,124.8925,300.41,75,100,0.89
Bose,6457397,45.4612,8.0137,276.54,66,0,0.89
Kapaa,5848280,22.0752,-159.319,299.96,69,1,4.63
Mataura,6201424,-46.1927,168.8643,298.42,43,0,1.21
Clyde River,5924351,70.4692,-68.5914,250.15,92,40,5.66
Punta Arenas,3874787,-53.15,-70.9167,284.98,71,75,8.23
Hofn,2630299,64.2539,-15.2082,277.42,92,100,7.09
Qaanaaq,3831208,77.484,-69.3632,254.33,81,1,2.01
Energetik,563471,51.7445,58.7934,246.75,88,84,2.68
Saint-Philippe,935215,-21.3585,55.7679,296.18,83,90,1.03
San Quintín,3984997,30.4833,-115.95,291.74,33,0,2.21
New Norfolk,2155415,-42.7826,147.0587,291.7,34,8,4.02
Hirara,1862505,24.8,125.2833,286.34,72,20,1.54
Kavaratti,1267390,10.5669,72.642,299.29,75,99,3.57
Srīvardhan,1255619,18.0333,73.0167,298.34,55,1,2.07
Avarua,4035715,-21.2078,-159.775,303.15,70,75,9.26
Hamilton,4513583,39.1834,-84.5333,277.94,65,1,3.6
Castro,3466704,-24.7911,-50.0119,291.92,94,80,4.5
Pevek,2122090,69.7008,170.3133,243.81,88,89,1.81
Torbay,6167817,47.6666,-52.7314,271.1,93,90,1.03
Ribeira Grande,3372707,38.5167,-28.7,289.58,87,79,7.48
Jamestown,5122534,42.097,-79.2353,274.63,75,1,4.63
Barrow,5880054,71.2906,-156.7887,251.15,84,1,7.2
Nhlangano,934913,-27.1167,31.2,290.98,99,93,0.56
Olden,3135601,61.8364,6.8064,261.91,67,0,2.23
Northam,2641434,51.0333,-4.2167,282.95,100,100,2.68
Norman Wells,6089245,65.282,-126.8329,257.15,92,90,7.2
Naze,1855540,28.3667,129.4833,285.15,71,40,2.06
Antalaha,1071296,-14.9003,50.2788,297.74,90,22,1.33
Peleduy,2018069,59.6289,112.7406,248.95,86,100,5.96
Dudinka,1507116,69.4058,86.1778,237.5,83,0,4.65
Zalesovo,1485528,53.9939,84.7431,247.57,89,100,3.02
Barcelos,2742416,41.5388,-8.6151,277.29,100,0,1.39
Zhigansk,2012530,66.7697,123.3711,233.01,80,100,5.14
George Town,1735106,5.4112,100.3354,297.0,88,20,1.54
Laas,3175096,46.6166,10.7002,271.99,93,90,1.54
Bredasdorp,1015776,-34.5322,20.0403,293.15,88,98,4.12
Hermanus,3366880,-34.4187,19.2345,294.26,85,39,4.02
Kumul,1529484,42.8,93.45,264.18,85,52,3.47
Saint Anthony,5044290,45.0205,-93.218,275.23,75,1,2.37
Whyalla,2058430,-33.0333,137.5833,293.15,64,3,6.17
Cape Town,3369157,-33.9258,18.4232,294.58,73,0,5.66
Inyonga,159134,-6.7167,32.0667,292.14,89,100,0.79
Portland,5746545,45.5234,-122.6762,283.46,50,40,1.54
Mwene-Ditu,207570,-7.0,23.45,291.48,96,98,1.27
Nagornskiy,558209,58.7731,57.5451,245.93,73,0,1.21
Waingapu,1622318,-9.6567,120.2641,301.78,69,100,1.43
Matamoros,3996426,25.5333,-103.25,288.07,29,75,2.11
Esperance,2071860,-33.8667,121.9,288.15,63,90,3.09
